id,Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Food Insecure Categorical
1073,,,0
808,,,0
1705,,,0
538,,,0
1424,,,0
1280,,,0
1163,,,0
1783,4.5,22.2,0
1413,4.5,22.2,0
1793,4.5,22.2,0
1215,,,0
746,,,0
488,,,0
897,,,0
971,,,0
494,,,0
884,,,0
1320,3.4,23.6,0
1879,3.4,23.6,0
637,3.4,23.6,0
267,3.4,23.6,0
1644,3.4,23.6,0
1836,,,0
1532,,,0
804,,,0
114,,,0
838,,,0
97,,,0
428,,,0
239,,,0
685,,,0
449,,,0
164,14.1,39.4,0
915,14.03333333,39.5,0
48,13.33333333,39.53333333,0
1952,13.75,40.3,0
1786,13.6,40.9,0
851,2.1,12.65,0
1746,2.066666667,12.56666667,0
1466,2.166666667,12.3,0
203,2.3,12.2,0
1141,2.6,12,0
849,1.3,3.6,0
1773,1.333333333,3.966666667,0
1109,1.233333333,4.433333333,0
41,1.15,4.6,0
1009,0.9,4.5,0
464,0.9,5.15,0
770,0.866666667,5.1,0
365,0.933333333,5.333333333,0
1517,0.95,5.5,0
1473,1.1,6,0
1660,0.7,11.5,0
1929,0.633333333,11.06666667,0
1943,0.533333333,9.866666667,0
1610,0.5,9.2,0
1702,0.5,8.2,0
956,,,0
1832,,,0
1973,,,0
1258,,,0
1962,,,0
22,,,0
866,,,0
100,43,79.1,1
60,43,79.1,1
1513,43,79.1,1
1987,,,0
888,,,0
1013,19.3,44.9,0
1470,19.3,44.9,0
394,19.3,44.9,0
736,65.4,85.1,1
620,64.55,85,1
84,63.7,84.93333333,1
1291,62.85,84.85,1
1626,62,84.8,1
325,1.35,7.5,0
1778,1.5,7.866666667,0
918,1.666666667,8.3,0
571,1.8,8.7,0
1417,1.8,8.8,0
6,,,0
144,,,0
1546,,,0
1463,,,0
1439,,,0
1247,14.9,45.15,0
1518,15.4,46.4,0
872,16.2,48.23333333,0
860,16.6,49.15,0
1345,16.8,49.4,0
1298,,,0
1628,,,0
883,,,0
1331,,,0
677,,,0
1557,1,5.35,0
1993,1.066666667,5.466666667,0
1924,1.133333333,5.466666667,0
324,1.2,5.5,0
413,1.2,5.3,0
550,1.05,3.65,0
1304,0.933333333,3.3,0
242,0.666666667,2.566666667,0
1218,0.6,2.3,0
1318,0.5,2,0
124,,,0
337,,,0
1382,,,0
752,,,0
1718,,,0
1174,,,0
1555,,,0
1351,,,0
1651,,,0
1403,,,0
1797,6.5,22.25,0
813,6.9,23.63333333,0
1259,7.8,27,0
1635,8.1,28.1,0
1709,8.5,29.8,0
1220,,,0
110,,,0
303,,,0
1160,,,0
1062,,,0
439,,,0
816,,,0
400,,,0
287,,,0
1907,,,0
1897,,,0
1105,,,0
835,,,0
1017,,,0
1273,,,0
233,,,0
378,6,23.2,0
33,6,23.2,0
725,6,23.2,0
1251,6,23.2,0
415,,,0
1228,,,0
229,,,0
118,,,0
385,,,0
1556,9.2,19.7,0
1596,9.366666667,20.5,0
1994,9.833333333,22.4,0
777,10.2,23.6,0
895,10.7,25.1,0
351,,,0
1375,,,0
1140,,,0
359,,,0
630,,,0
761,,,0
1094,,,0
1027,,,0
1534,,,0
1621,,,0
927,,,0
1516,,,0
1795,,,0
306,,,0
674,,,0
709,19,62.05,1
1412,19.53333333,63.46666667,1
159,20.6,66.3,1
1824,21.15,67.75,1
1381,21.7,69.2,1
1764,2.1,,0
642,1.933333333,,0
948,2.033333333,,0
1895,2.05,,0
1933,2.5,,0
1860,,,0
558,,,0
1038,,,0
484,,,0
1802,,,0
1145,1.9,5.85,0
1271,1.7,5.533333333,0
1278,1.233333333,4.8,0
278,1,4.4,0
155,0.7,3.9,0
676,23.8,55,1
1504,23.8,55,1
1120,24.1,55.46666667,1
252,24.25,55.7,1
168,24.7,56.4,1
1399,7.5,24.25,0
1894,7.133333333,23.9,0
839,6.833333333,23.93333333,0
1064,6.55,23.35,0
1779,6.7,23.5,0
1522,,,0
1253,2.4,23.3,0
