id,Area,Year,Average dietary energy supply adequacy (percent) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Prevalence of undernourishment (percent) (3-year average),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of moderately or severely food insecure people (million) (3-year average),Cereal import dependency ratio (percent) (3-year average),Percent of arable land equipped for irrigation (percent) (3-year average),Value of food imports in total merchandise exports (percent) (3-year average),Political stability and absence of violence/terrorism (index),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percentage of population using safely managed drinking water services (Percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Prevalence of obesity in the adult population (18 years and older),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Minimum dietary energy requirement  (kcal/cap/day),Average dietary energy requirement (kcal/cap/day),Coefficient of variation of habitual caloric consumption distribution (real number),Incidence of caloric losses at retail distribution level (percent),Average fat supply (g/cap/day) (3-year average),Percentage of population using safely managed sanitation services (Percent),Rail lines density (total route in km per 100 square km of land area)
1245,Estonia,2018,127,131,3218,29,103,64,35208,2.5,,0.1,0.1,-342.5,0.4,8.5,0.59,,40,95.8,99,99,,1.2,5.6,,21.5,,1948,2540,0.21,1.99,121.7,93,
329,Estonia,2019,128,,3239,,,,36830.1,2.5,,0.1,0.1,,,8,0.64,,45,95.8,99,99,,1.2,5.6,,21.7,,1947,2539,0.21,1.99,,93.1,
1853,Estonia,2020,129,,3261,,,,35638.4,2.5,,0.1,0.1,,,,,,,95.8,99,99,,1.2,5.7,,,,1947,2538,0.21,1.99,,93.1,
1301,Uzbekistan,2016,136,160.5,3228,54,93.3,35,6346.3,2.5,,0.7,4.5,22.7,100,13,-0.27,7.6,44,58.9,97.7,99,,11.5,6.1,16.6,25.7,,1840,2375,0.23,2.81,78.35,,1
740,Uzbekistan,2017,136,160.5,3223,54,93.3,35,6518.8,2.5,,0.766666667,4.866666667,22.7,100,13,-0.24,9,56,58.9,97.8,99,1.8,11.1,5.7,,25.3,49.5,1839,2372,0.23,2.81,78.35,,1
1266,Uzbekistan,2018,136,105,3219.666667,54,93.3,35,6755.5,2.5,,0.966666667,5.633333333,25.4,100,13,-0.29,,73,58.9,97.8,99,,10.7,5.4,,25,,1837,2370,0.23,2.81,78.7,,1
174,Uzbekistan,2019,136,,3217,,,,7014.3,2.5,,1.1,6.05,,,13,-0.27,,79,58.8,97.8,99,,10.3,5.2,,24.8,,1837,2369,0.23,2.81,,,
313,Uzbekistan,2020,136,,3221,,,,6994.2,2.5,,1.3,6.5,,,,,,,58.8,97.8,99,,9.9,5,,,,1838,2370,0.25,2.81,,,
473,Armenia,2016,125.5,208.5,3055,41.5,96.5,44.5,11303.1,2.95,0.1,0.1,0.5,50.3,58.95,27.5,-0.66,19.9,46,84.6,99,93.2,4.4,11.2,12.1,20.2,17,,1877,2436,0.23,2.56,94.85,63.1,2.3
1647,Armenia,2017,125,208.5,3044.666667,41.5,96.5,44.5,12115.1,3.033333333,0.1,0.1,0.45,50.3,58.95,26.66666667,-0.62,16.3,25,85.4,99,93.5,,10.6,11.6,,17.1,,1875,2433,0.23,2.56,94.85,64.6,2.3
265,Armenia,2018,124.3333333,134,3022,42,96,44.7,12715.1,3.233333333,0.1,0.1,0.433333333,53.3,56.5,25.5,-0.44,,21,85.9,99,93.7,,10,11.3,,17.1,,1873,2430,0.23,2.56,94.7,66.1,
780,Armenia,2019,124,,3013,,,,13653.8,3.3,0.1,0.1,0.4,,,25,-0.51,,25,86.4,99,93.9,,9.5,11,,17.3,,1872,2428,0.23,2.56,,67.8,
1089,Armenia,2020,124,,3002,,,,12592.6,3.4,0.1,0.1,0.4,,,,,,,86.9,99,93.9,,9.1,10.8,,,,1872,2428,0.23,2.56,,69.3,
1416,Poland,2016,138,247.5,3469.5,37.5,103.5,56.5,28682.7,2.5,,0.35,2.2,-16.6,2.4,6,0.51,14.6,50,96.6,99,99,,2.3,6.3,23.1,,,1932,2517,0.21,2.14,123.85,89.7,5.9
699,Poland,2017,139,247.5,3490.333333,37.5,103.5,56.5,30064.5,2.5,,0.3,2,-16.6,2.4,6,0.52,13.8,46,97.2,99,99,,2.3,6.4,,,,1930,2513,0.21,2.14,123.85,90.2,5.9
1619,Poland,2018,140.6666667,169,3527,37,104.3,57,31674.1,2.5,,0.233333333,1.933333333,-15.1,2.5,6,0.5,,43,97.8,99,99,,2.3,6.5,,,,1926,2509,0.21,2.14,124.7,90.4,5.9
206,Poland,2019,141.5,,3542,,,,33120.5,2.5,,0.2,1.9,,,6,0.52,,42,98.3,99,99,,2.3,6.6,,,,1923,2505,0.2,2.14,,90.5,
591,Poland,2020,142,,3552,,,,32238.2,2.5,,0.2,2.2,,,,,,,98.3,99,99,,2.3,6.7,,,,1922,2503,0.21,2.14,,90.5,
227,Iceland,2016,142.5,174.5,3609.5,23.5,142.3,102.5,54665.8,2.5,,0.1,0.1,91.9,,9,1.36,8.2,43,99,99,98.8,,,,21.9,9.7,,1941,2529,0.2,2.31,165.8,76.4,
791,Iceland,2017,143.3333333,174.5,3628.666667,23.5,142.3,102.5,55638.5,2.5,,0.1,0.1,91.9,,9.333333333,1.35,12.3,41,99,99,98.8,,,,,9.9,,1942,2531,0.2,2.31,165.8,78.8,
397,Iceland,2018,144.6666667,117,3661.666667,24,143.3,103,56722.1,2.5,,0.1,0.1,92.5,,9.5,1.41,,55,99,99,98.8,,,,,10.1,,1942,2532,0.2,2.31,166.3,81.2,
109,Iceland,2019,145.5,,3679.5,,,,56914,2.5,,0.1,0.1,,,10,1.66,,43,99,99,98.8,,,,,10.3,,1943,2534,0.2,2.31,,83.7,
562,Iceland,2020,146,,3692,,,,52279.7,2.5,,0.1,0.1,,,,,,,99,99,98.8,,,,,,,1944,2535,0.2,2.31,,83.7,
161,Sierra Leone,2016,104.5,91,2317.5,69.5,50.15,11.15,1610.6,25.8,1.95,2.3,5.9,40.85,1.9,60,-0.16,13.3,57,9.2,59,15.2,,31.7,3.7,8.7,47.9,,1731,2212,0.33,3.03,50.8,13,
81,Sierra Leone,2017,104.6666667,91,2321,69.5,50.15,11.15,1642.6,25.76666667,1.966666667,2.333333333,6,40.85,1.9,60.66666667,-0.04,10.8,70,9.6,60.2,15.5,5.1,30.6,3.9,,48.1,47.2,1734,2216,0.33,3.03,50.8,13.2,
166,Sierra Leone,2018,104.6666667,63,2321.666667,70,50.3,11,1663.3,26.03333333,2,2.4,6.266666667,40.4,1.9,60.5,-0.08,,64,9.9,61.4,15.9,,28.8,4.2,,48.2,,1737,2221,0.33,3.03,50,13.5,
802,Sierra Leone,2019,105,,2326.5,,,,1719.8,25.95,2,2.45,6.4,,,62,-0.1,,58,10.3,62.6,16.2,5.4,27.7,4.4,,48.4,54.1,1740,2226,0.33,3.03,,13.8,
264,Sierra Leone,2020,105,,2325,,,,1648.1,26.2,2,2.5,6.6,,,,,,,10.6,63.8,16.5,,26.8,4.7,,,,1744,2231,0.33,3.03,,14,
455,Latvia,2016,130.5,247,3214,36,100.95,59.3,27503.2,2.5,,0.1,0.2,-182.55,0.1,15.5,0.48,40,31,95.3,98.6,92,,,,23.6,21.3,,1891,2459,0.22,2.11,125.65,74.3,2.9
36,Latvia,2017,131,247,3219.666667,36,100.95,59.3,28650,2.5,,0.1,0.2,-182.55,0.1,15.66666667,0.46,33.9,38,95.5,98.6,92.4,,,,,21.3,,1886,2452,0.22,2.11,125.65,76.5,2.9
842,Latvia,2018,132,160,3232,36,102.3,61,30036.1,2.5,,0.1,0.2,-167.8,0.1,16,0.42,,22,95.8,98.7,92.4,,,,,21.4,,1881,2444,0.22,2.11,126.6,78.8,2.9
1471,Latvia,2019,132.5,,3236.5,,,,30858.8,2.5,,0.1,0.2,,,16,0.45,,31,96,98.7,92.4,,,,,21.6,,1876,2438,0.22,2.11,,81.1,
1815,Latvia,2020,133,,3242,,,,29932.5,2.5,,0.1,0.2,,,,,,,96.3,98.8,92.4,,,,,,,1874,2435,0.22,2.11,,83.4,
1065,Mongolia,2016,119,154,2749.5,42,84.35,54.65,10940.4,6.85,0.2,0.2,0.8,40.4,6.45,8,0.8,11.2,63,28.6,81.7,63.2,1.2,9.4,10.2,20.6,14.1,59.2,1798,2316,0.24,3.88,95.35,50,0.1
501,Mongolia,2017,120,154,2770,42,84.35,54.65,11311.8,6.4,0.2,0.2,0.833333333,40.4,6.45,8,0.79,11.8,72,29,82.7,64.3,,8.7,10.3,,14.1,,1796,2311,0.24,3.88,95.35,51.5,0.1
1866,Mongolia,2018,122.3333333,103,2818.666667,42,85,55,11915.6,5.366666667,0.166666667,0.2,0.833333333,36.5,6.5,8,0.84,,70,29.3,83.6,65.4,0.9,8.1,10.3,,14.3,50.2,1794,2307,0.24,3.88,95.7,53,
1156,Mongolia,2019,123.5,,2842,,,,12316.8,4.9,0.15,0.2,0.85,,,8,0.64,,51,29.7,84.5,66.6,,7.6,10.2,,14.5,,1794,2305,0.24,3.88,,54.5,
1022,Mongolia,2020,125,,2873,,,,11470.7,4.3,0.1,0.2,0.8,,,,,,,30.1,85.5,67.7,,7.1,10.1,,,,1794,2304,0.24,3.88,,55.5,
